,open,high,low,close,volume,idx_stamp,VWAP_D
2021-08-24 08:30:00,49153.8,49333.33,49028.54,49333.33,877.685731,2021-08-24 08:30:00,49231.73333333334
2021-08-24 09:00:00,49333.33,49395.02,48810.0,48819.39,1560.092472,2021-08-24 09:00:00,49088.639316001616
2021-08-24 09:30:00,48819.39,48820.3,48392.26,48597.19,3627.586029,2021-08-24 09:30:00,48798.336634414314
2021-08-24 10:00:00,48597.18,48641.39,48300.0,48578.1,2462.665317,2021-08-24 10:00:00,48714.06110950472
2021-08-24 10:30:00,48578.1,48719.12,48480.0,48529.58,1505.358176,2021-08-24 10:30:00,48693.38213492244
2021-08-24 11:00:00,48529.59,48608.84,48362.0,48549.99,1319.055718,2021-08-24 11:00:00,48671.719559061305
2021-08-24 11:30:00,48550.0,48550.0,48210.98,48310.74,1631.027,2021-08-24 11:30:00,48632.213584597164
2021-08-24 12:00:00,48310.73,48406.26,47749.1,48109.32,5032.949716,2021-08-24 12:00:00,48480.24894456637
2021-08-24 12:30:00,48109.33,48260.71,47850.01,47950.37,1428.988389,2021-08-24 12:30:00,48446.45324430643
2021-08-24 13:00:00,47950.36,48359.54,47865.94,48218.82,1418.651317,2021-08-24 13:00:00,48426.1667216591
2021-08-24 13:30:00,48218.83,48253.5,47969.78,48001.01,829.274265,2021-08-24 13:30:00,48412.73357280213
2021-08-24 14:00:00,48001.0,48180.0,47870.0,47980.0,907.253371,2021-08-24 14:00:00,48396.56667486095
2021-08-24 14:30:00,47980.01,48197.88,47800.0,48182.07,1037.976239,2021-08-24 14:30:00,48381.78720201347
2021-08-24 15:00:00,48182.06,48402.84,47904.61,47954.13,972.952823,2021-08-24 15:00:00,48370.14119330705
2021-08-24 15:30:00,47954.14,48422.12,47906.0,48243.2,1087.669481,2021-08-24 15:30:00,48362.53567991356
2021-08-24 16:00:00,48243.2,48364.22,48039.62,48337.4,677.929522,2021-08-24 16:00:00,48359.568304132845
